"","sub","rr","pu","rho","model"
"384","hd4d44n06f6cawh","25","high",0.953589391860997,"perc"
"385","hd9k76vgdu5mql0","25","low",0.898719707361683,"perc"
"386","hd9k76vgdu5mql0","50","high",0.228395061728395,"perc"
"387","hd9k76vgdu5mql0","75","high",0.96364882627568,"perc"
"388","hd9k76vgdu5mql0","50","low",0.117842808514962,"perc"
"389","hd9k76vgdu5mql0","75","low",0.322588020118884,"perc"
"390","hd9k76vgdu5mql0","25","high",0.201874714220393,"perc"
"391","hjgqzm1pq2mo1u7","25","low",0.187395214144185,"perc"
"392","hjgqzm1pq2mo1u7","50","high",0.524234110653864,"perc"
"393","hjgqzm1pq2mo1u7","75","high",0.490702636793172,"perc"
"394","hjgqzm1pq2mo1u7","50","low",0.852080475537266,"perc"
"395","hjgqzm1pq2mo1u7","75","low",0.164990092973632,"perc"
"396","hjgqzm1pq2mo1u7","25","high",0.423639689071788,"perc"
"397","hkdemly7qs0y8be","25","low",0.838667885992989,"perc"
"398","hkdemly7qs0y8be","50","high",0.859396433470507,"perc"
"399","hkdemly7qs0y8be","75","high",0.862139917695473,"perc"
"400","hkdemly7qs0y8be","50","low",0.99519890260631,"perc"
"401","hkdemly7qs0y8be","75","low",0.876314586191129,"perc"
"402","hkdemly7qs0y8be","25","high",0.667352537722908,"perc"
"403","hm4cdxlz8t0281v","25","low",0.845679012345679,"perc"
"404","hm4cdxlz8t0281v","50","high",0.95496113397348,"perc"
"405","hm4cdxlz8t0281v","75","high",0.710333790580704,"perc"
"406","hm4cdxlz8t0281v","50","low",0.779835390946502,"perc"
"407","hm4cdxlz8t0281v","75","low",0.853909465020576,"perc"
"408","hm4cdxlz8t0281v","25","high",0.960905342050714,"perc"
